"Number in population by employment status, grounds for settlement, number of years in Sweden, region of birth, sex, age and year"

"employment status","grounds for settlement","number of years in Sweden","region of birth","sex","age","2020","2021","2022","2023"
"total","other/GFS not relevant","0-3 years","Asia","total","40-49 years",1865,2129,2310,2066
"total","other/GFS not relevant","0-3 years","Asia","total","50-59 years",501,627,696,703
"total","other/GFS not relevant","0-3 years","Asia","total","60-64 years",63,65,69,62
"total","other/GFS not relevant","0-3 years","Asia","total","65-69 years",22,26,26,26
"total","other/GFS not relevant","0-3 years","Asia","total","70-74 years",8,14,19,10
"total","other/GFS not relevant","0-3 years","rest of the world, incl. Soviet Union","total","total",379,660,603,401
"total","other/GFS not relevant","0-3 years","rest of the world, incl. Soviet Union","total","20-24 years",62,65,58,34
"total","other/GFS not relevant","0-3 years","rest of the world, incl. Soviet Union","total","25-29 years",66,139,119,63
"total","other/GFS not relevant","0-3 years","rest of the world, incl. Soviet Union","total","30-39 years",118,229,230,158
"total","other/GFS not relevant","0-3 years","rest of the world, incl. Soviet Union","total","40-49 years",87,136,94,65
"total","other/GFS not relevant","0-3 years","rest of the world, incl. Soviet Union","total","50-59 years",31,68,67,45
"total","other/GFS not relevant","0-3 years","rest of the world, incl. Soviet Union","total","60-64 years",9,14,17,20
"total","other/GFS not relevant","0-3 years","rest of the world, incl. Soviet Union","total","65-69 years",6,8,13,10
"total","other/GFS not relevant","0-3 years","rest of the world, incl. Soviet Union","total","70-74 years",3,5,3,3
"total","other/GFS not relevant","0-3 years","unknown","total","total",11,18,14,8
"total","other/GFS not relevant","0-3 years","unknown","total","20-24 years",0,0,0,0
"total","other/GFS not relevant","0-3 years","unknown","total","25-29 years",4,4,4,0
"total","other/GFS not relevant","0-3 years","unknown","total","30-39 years",3,3,0,0
"total","other/GFS not relevant","0-3 years","unknown","total","40-49 years",4,10,7,6
"total","other/GFS not relevant","0-3 years","unknown","total","50-59 years",4,3,4,4
"total","other/GFS not relevant","0-3 years","unknown","total","60-64 years",0,0,0,0
"total","other/GFS not relevant","0-3 years","unknown","total","65-69 years",0,0,0,0
"total","other/GFS not relevant","0-3 years","unknown","total","70-74 years",0,0,0,0
"total","other/GFS not relevant","4-9 years","total","total","total",10329,13311,16945,20042
"total","other/GFS not relevant","4-9 years","total","total","20-24 years",518,635,927,1203
"total","other/GFS not relevant","4-9 years","total","total","25-29 years",749,1064,1273,1477
"total","other/GFS not relevant","4-9 years","total","total","30-39 years",3545,4801,6148,7078
"total","other/GFS not relevant","4-9 years","total","total","40-49 years",3376,4335,5543,6687
"total","other/GFS not relevant","4-9 years","total","total","50-59 years",1363,1751,2330,2822
"total","other/GFS not relevant","4-9 years","total","total","60-64 years",333,344,379,424
"total","other/GFS not relevant","4-9 years","total","total","65-69 years",206,185,206,235
"total","other/GFS not relevant","4-9 years","total","total","70-74 years",235,194,145,116
"total","other/GFS not relevant","4-9 years","Sweden","total","total",0,0,0,0
"total","other/GFS not relevant","4-9 years","Sweden","total","20-24 years",0,0,0,0
"total","other/GFS not relevant","4-9 years","Sweden","total","25-29 years",0,0,0,0
"total","other/GFS not relevant","4-9 years","Sweden","total","30-39 years",0,0,0,0
"total","other/GFS not relevant","4-9 years","Sweden","total","40-49 years",0,0,0,0
"total","other/GFS not relevant","4-9 years","Sweden","total","50-59 years",0,0,0,0
"total","other/GFS not relevant","4-9 years","Sweden","total","60-64 years",0,0,0,0
"total","other/GFS not relevant","4-9 years","Sweden","total","65-69 years",0,0,0,0
"total","other/GFS not relevant","4-9 years","Sweden","total","70-74 years",0,0,0,0
"total","other/GFS not relevant","4-9 years","Europe, excl. Sweden","total","total",5573,7397,9164,10579
"total","other/GFS not relevant","4-9 years","Europe, excl. Sweden","total","20-24 years",272,370,485,566
"total","other/GFS not relevant","4-9 years","Europe, excl. Sweden","total","25-29 years",437,685,800,915
"total","other/GFS not relevant","4-9 years","Europe, excl. Sweden","total","30-39 years",2024,2907,3734,4285
"total","other/GFS not relevant","4-9 years","Europe, excl. Sweden","total","40-49 years",1552,2071,2609,3104
"total","other/GFS not relevant","4-9 years","Europe, excl. Sweden","total","50-59 years",705,869,1091,1269
"total","other/GFS not relevant","4-9 years","Europe, excl. Sweden","total","60-64 years",210,203,201,227
"total","other/GFS not relevant","4-9 years","Europe, excl. Sweden","total","65-69 years",162,127,131,136
"total","other/GFS not relevant","4-9 years","Europe, excl. Sweden","total","70-74 years",212,168,117,87
"total","other/GFS not relevant","4-9 years","Africa","total","total",1623,1905,2255,2451
"total","other/GFS not relevant","4-9 years","Africa","total","20-24 years",68,64,85,86
"total","other/GFS not relevant","4-9 years","Africa","total","25-29 years",98,94,97,105
"total","other/GFS not relevant","4-9 years","Africa","total","30-39 years",487,563,638,689
"total","other/GFS not relevant","4-9 years","Africa","total","40-49 years",692,817,960,1035
"total","other/GFS not relevant","4-9 years","Africa","total","50-59 years",248,321,417,473
"total","other/GFS not relevant","4-9 years","Africa","total","60-64 years",27,27,43,42
"total","other/GFS not relevant","4-9 years","Africa","total","65-69 years",7,9,12,16
"total","other/GFS not relevant","4-9 years","Africa","total","70-74 years",4,4,4,5
"total","other/GFS not relevant","4-9 years","Asia","total","total",2552,3318,4685,6051
"total","other/GFS not relevant","4-9 years","Asia","total","20-24 years",154,174,321,510
"total","other/GFS not relevant","4-9 years","Asia","total","25-29 years",193,237,310,403
"total","other/GFS not relevant","4-9 years","Asia","total","30-39 years",851,1078,1461,1724
"total","other/GFS not relevant","4-9 years","Asia","total","40-49 years",920,1232,1715,2254
"total","other/GFS not relevant","4-9 years","Asia","total","50-59 years",327,467,709,961
"total","other/GFS not relevant","4-9 years","Asia","total","60-64 years",69,81,95,118
"total","other/GFS not relevant","4-9 years","Asia","total","65-69 years",26,32,49,67
"total","other/GFS not relevant","4-9 years","Asia","total","70-74 years",10,19,19,23
"total","other/GFS not relevant","4-9 years","rest of the world, incl. Soviet Union","total","total",570,683,830,946
"total","other/GFS not relevant","4-9 years","rest of the world, incl. Soviet Union","total","20-24 years",27,25,41,37
"total","other/GFS not relevant","4-9 years","rest of the world, incl. Soviet Union","total","25-29 years",26,44,58,59
"total","other/GFS not relevant","4-9 years","rest of the world, incl. Soviet Union","total","30-39 years",184,249,313,378
"total","other/GFS not relevant","4-9 years","rest of the world, incl. Soviet Union","total","40-49 years",209,221,259,287
"total","other/GFS not relevant","4-9 years","rest of the world, incl. Soviet Union","total","50-59 years",85,95,108,121
"total","other/GFS not relevant","4-9 years","rest of the world, incl. Soviet Union","total","60-64 years",28,32,34,35
"total","other/GFS not relevant","4-9 years","rest of the world, incl. Soviet Union","total","65-69 years",11,13,17,18
"total","other/GFS not relevant","4-9 years","rest of the world, incl. Soviet Union","total","70-74 years",10,6,3,4
"total","other/GFS not relevant","4-9 years","unknown","total","total",4,8,11,16
"total","other/GFS not relevant","4-9 years","unknown","total","20-24 years",0,0,0,0
"total","other/GFS not relevant","4-9 years","unknown","total","25-29 years",3,4,0,0
"total","other/GFS not relevant","4-9 years","unknown","total","30-39 years",3,0,4,6
"total","other/GFS not relevant","4-9 years","unknown","total","40-49 years",3,0,4,6
"total","other/GFS not relevant","4-9 years","unknown","total","50-59 years",0,3,3,3
"total","other/GFS not relevant","4-9 years","unknown","total","60-64 years",0,0,3,3
"total","other/GFS not relevant","4-9 years","unknown","total","65-69 years",0,0,0,0
"total","other/GFS not relevant","4-9 years","unknown","total","70-74 years",0,0,0,0
"total","other/GFS not relevant","10- years","total","total","total",130207,132402,134198,135466
"total","other/GFS not relevant","10- years","total","total","20-24 years",4837,4461,3983,3477
"total","other/GFS not relevant","10- years","total","total","25-29 years",5864,5895,5930,5769
"total","other/GFS not relevant","10- years","total","total","30-39 years",24710,21755,19266,17351
"total","other/GFS not relevant","10- years","total","total","40-49 years",54471,55221,54910,53561
"total","other/GFS not relevant","10- years","total","total","50-59 years",28438,31732,35060,38437
"total","other/GFS not relevant","10- years","total","total","60-64 years",6378,7020,7957,8985
"total","other/GFS not relevant","10- years","total","total","65-69 years",3620,4147,4629,5110
"total","other/GFS not relevant","10- years","total","total","70-74 years",1896,2174,2467,2775
"total","other/GFS not relevant","10- years","Sweden","total","total",0,0,0,0
"total","other/GFS not relevant","10- years","Sweden","total","20-24 years",0,0,0,0
"total","other/GFS not relevant","10- years","Sweden","total","25-29 years",0,0,0,0
"total","other/GFS not relevant","10- years","Sweden","total","30-39 years",0,0,0,0
"total","other/GFS not relevant","10- years","Sweden","total","40-49 years",0,0,0,0
"total","other/GFS not relevant","10- years","Sweden","total","50-59 years",0,0,0,0
"total","other/GFS not relevant","10- years","Sweden","total","60-64 years",0,0,0,0
"total","other/GFS not relevant","10- years","Sweden","total","65-69 years",0,0,0,0
"total","other/GFS not relevant","10- years","Sweden","total","70-74 years",0,0,0,0
"total","other/GFS not relevant","10- years","Europe, excl. Sweden","total","total",58044,59657,60988,61852
"total","other/GFS not relevant","10- years","Europe, excl. Sweden","total","20-24 years",2104,2004,1903,1741
"total","other/GFS not relevant","10- years","Europe, excl. Sweden","total","25-29 years",2515,2561,2557,2502
"total","other/GFS not relevant","10- years","Europe, excl. Sweden","total","30-39 years",11654,10437,9431,8585
